hidden_size,n_hidden_layers,activation,dropout,lr,mean_rmse,std_rmse
8,1,relu,0.0,0.02,0.0883802274296666,0.021954596800531
8,1,relu,0.0,0.01,0.1059592060005528,0.0305359487557538
8,1,relu,0.0,0.005,0.1110785019546942,0.0405544736527171
8,2,relu,0.0,0.02,0.1363263639323429,0.0409269535958869
8,2,relu,0.0,0.01,0.07950597684600799,0.024670562890349
8,2,relu,0.0,0.005,0.1072554719314898,0.0432095272693016
9,1,relu,0.0,0.02,0.0993549300275273,0.0359926667370134
9,1,relu,0.0,0.01,0.1047808862044539,0.0309227081496105
9,1,relu,0.0,0.005,0.1169989212715058,0.0427927150851051
9,2,relu,0.0,0.02,0.1318004115230825,0.0421838257684615
9,2,relu,0.0,0.01,0.1024153851339783,0.0237215090088198
9,2,relu,0.0,0.005,0.1036374451619782,0.0288297207756528
10,1,relu,0.0,0.02,0.11214780620800302,0.0524673658155068
10,1,relu,0.0,0.01,0.1101129860511726,0.0390159060308461
10,1,relu,0.0,0.005,0.120693529147365,0.0433782402527665
10,2,relu,0.0,0.02,0.0951967441591836,0.0458565847188571
10,2,relu,0.0,0.01,0.0849101252106338,0.0192632102877997
10,2,relu,0.0,0.005,0.1116662138879717,0.0335995431430252
11,1,relu,0.0,0.02,0.0987260513702672,0.0223063679876777
11,1,relu,0.0,0.01,0.0920642768897738,0.0311460109938365
11,1,relu,0.0,0.005,0.110566593818259,0.0423930789915209
11,2,relu,0.0,0.02,0.0955715868740128,0.0348980249035468
11,2,relu,0.0,0.01,0.0985717172992138,0.039710592778874
11,2,relu,0.0,0.005,0.0936978740376535,0.0197723898523646
8,3,relu,0.0,0.01,0.0907814807751842,0.0271896213156117
8,3,relu,0.0,0.005,0.107021711937095,0.0292020298114439
9,3,relu,0.0,0.01,0.1126968342392982,0.0307585597966328
9,3,relu,0.0,0.005,0.1223024037672204,0.0433806753494092
10,3,relu,0.0,0.01,0.0976520983778153,0.0324907368656056
10,3,relu,0.0,0.005,0.1083344754481741,0.0316007376147728
11,3,relu,0.0,0.01,0.0983157444330484,0.0391827631907564
11,3,relu,0.0,0.005,0.1088637010327251,0.0398508278353892
8,1,tanh,0.0,0.01,0.1101870925138721,0.0404705511685442
8,1,tanh,0.0,0.005,0.1168990189557539,0.0480037257391112
8,2,tanh,0.0,0.01,0.0776155383294234,0.0154301698807748
8,2,tanh,0.0,0.005,0.1087213282393103,0.0457533897902479
8,3,tanh,0.0,0.01,0.1120510862661052,0.0450298719706787
8,3,tanh,0.0,0.005,0.1015660473072986,0.0444452202987032
9,1,tanh,0.0,0.01,0.1116965567750026,0.039984881571614
9,1,tanh,0.0,0.005,0.1182752371595495,0.0485895988387614
9,2,tanh,0.0,0.01,0.0783899377233915,0.0156727896788422
9,2,tanh,0.0,0.005,0.1073688917629404,0.0376576732941672
9,3,tanh,0.0,0.01,0.0839904282612914,0.0231263240849135
9,3,tanh,0.0,0.005,0.1081085563511374,0.0487508231386054
10,1,tanh,0.0,0.01,0.1191798514240414,0.0512704069647449
10,1,tanh,0.0,0.005,0.1155649497918824,0.0456681956863332
10,2,tanh,0.0,0.01,0.07546231212342501,0.012473537593308
10,2,tanh,0.0,0.005,0.1028882588504441,0.0299824535131532
10,3,tanh,0.0,0.01,0.0679808884724395,0.0151450195550519
10,3,tanh,0.0,0.005,0.0952161402926409,0.017821620017945
11,1,tanh,0.0,0.01,0.1154546479282318,0.0401917401365036
11,1,tanh,0.0,0.005,0.1164964677165576,0.0454464534469028
11,2,tanh,0.0,0.01,0.0878169035797467,0.0147703538533546
11,2,tanh,0.0,0.005,0.1086711948267071,0.037656393375800006
11,3,tanh,0.0,0.01,0.0658125306832926,0.0145631481444654
11,3,tanh,0.0,0.005,0.08282695356493598,0.0166281463599696
12,1,relu,0.0,0.01,0.1020863137736324,0.0372155378418576
12,1,relu,0.0,0.005,0.1213649256335664,0.0454574679185997
12,1,tanh,0.0,0.01,0.1064435246298816,0.0401422112253046
12,1,tanh,0.0,0.005,0.1166895915768886,0.0457838109701105
12,2,relu,0.0,0.01,0.07559762065283501,0.0179513790076641
12,2,relu,0.0,0.005,0.1038779814674913,0.031029100144273
12,2,tanh,0.0,0.01,0.0771541096343081,0.0147129951962738
12,2,tanh,0.0,0.005,0.1018032101080772,0.0325360521780278
12,3,relu,0.0,0.01,0.1153668849554471,0.055193589814965
12,3,relu,0.0,0.005,0.1047043417060251,0.0387263439736694
12,3,tanh,0.0,0.01,0.0698614448902981,0.0170638168918581
12,3,tanh,0.0,0.005,0.1032368551709343,0.0482843119902222
13,1,relu,0.0,0.01,0.104447659084853,0.039131764592082
13,1,relu,0.0,0.005,0.1083668121992186,0.0367878580087563
13,1,tanh,0.0,0.01,0.1086965782206389,0.0424766512065763
13,1,tanh,0.0,0.005,0.11396323393367,0.0451196935075811
13,2,relu,0.0,0.01,0.0745719146565218,0.0235083054849232
13,2,relu,0.0,0.005,0.0834243511572462,0.0200739687106781
13,2,tanh,0.0,0.01,0.0806966347278179,0.0133800110960632
13,2,tanh,0.0,0.005,0.1043223526390835,0.0459111537724712
13,3,relu,0.0,0.01,0.1069980848649524,0.044817301732322
13,3,relu,0.0,0.005,0.1276396302146017,0.0457722359886541
13,3,tanh,0.0,0.01,0.0701779158442862,0.0138736860227394
13,3,tanh,0.0,0.005,0.1004017581018088,0.0452718680242082
8,1,relu,0.1,0.01,0.10703434063215472,0.042586928456675784
8,1,relu,0.1,0.005,0.11947844166614068,0.045266835463643636
8,1,tanh,0.1,0.01,0.10883004860155272,0.0407429837784068
8,1,tanh,0.1,0.005,0.11918847917620755,0.04794723743983159
8,2,relu,0.1,0.01,0.11019655101624752,0.038567422174006334
8,2,relu,0.1,0.005,0.10783795339672628,0.03834154907278691
8,2,tanh,0.1,0.01,0.0988728226531356,0.05062141097224249
